Volcano_Name,Network,Station,Latitude,Longitude,Elevation,Starttime,Endtime
St_Helens,XD,MJ09,46.184181,-121.92144,1052.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MK04,46.112701,-122.390862,482.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MK06,46.118408,-122.192528,680.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MK07,46.152699,-122.116768,929.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MK08,46.117378,-122.046066,762.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MK10,46.144669,-121.771332,1186.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,ML03,46.062431,-122.516006,356.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,ML07,46.074268,-122.115227,694.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,ML09,46.078091,-121.880363,1144.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MM04,46.015251,-122.345451,313.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MM06,46.04118,-122.256882,601.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MM08,46.03273,-121.984123,1019.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MN07,45.992611,-122.081657,861.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MN09,46.00074,-121.841904,1254.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MO06,45.932121,-122.206078,784.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MO07,45.885132,-122.08445,1248.0,2014-05-01T00:00:00,2016-12-31T23:59:59
