,template,clusterID
405,CC_OBSR_rpra_121,3
406,CC_OBSR_rpra_122,2
407,CC_OBSR_rpra_123,0
408,CC_OBSR_rpra_124,0
409,CC_OBSR_rpra_125,3
410,CC_OBSR_rpra_126,3
411,CC_OBSR_rpra_127,3
412,CC_OBSR_rpra_128,2
413,CC_OBSR_rpra_129,0
414,CC_OBSR_rpra_130,0
415,CC_OBSR_rpra_131,0
416,CC_OBSR_rpra_132,1
417,CC_OBSR_rpra_133,2
418,CC_OBSR_rpra_134,1
419,CC_OBSR_rpra_136,2
420,CC_OBSR_rpra_137,0
421,CC_OBSR_rpra_138,1
422,CC_OBSR_rpra_139,1
423,CC_OBSR_rpra_140,2
424,CC_OBSR_rpra_142,0
425,CC_OBSR_rpra_144,2
426,CC_OBSR_rpra_145,1
427,CC_OBSR_rpra_146,0
428,CC_OBSR_rpra_147,3
429,CC_OBSR_rpra_148,0
430,CC_OBSR_rpra_150,1
431,CC_OBSR_rpra_151,3
432,CC_OBSR_rpra_153,2
433,CC_OBSR_rpra_154,4
434,CC_OBSR_rpra_155,2
435,CC_OBSR_rpra_156,0
436,CC_OBSR_rpra_157,0
437,CC_OBSR_rpra_158,3
438,CC_OBSR_rpra_159,0
439,CC_OBSR_rpra_160,3
440,CC_OBSR_rpra_161,2
441,CC_OBSR_rpra_162,3
442,CC_OBSR_rpra_163,0
443,CC_OBSR_rpra_164,2
444,CC_OBSR_rpra_165,3
445,CC_OBSR_rpra_166,2
446,CC_OBSR_rpra_168,0
447,CC_OBSR_rpra_169,0
448,CC_OBSR_rpra_170,1
449,CC_OBSR_rpra_171,1
450,CC_OBSR_rpra_172,2
451,CC_OBSR_rpra_173,0
452,CC_OBSR_rpra_174,2
453,CC_OBSR_rpra_176,2
454,CC_OBSR_rpra_177,3
455,CC_OBSR_rpra_178,4
456,CC_OBSR_rpra_179,0
457,CC_OBSR_rpra_180,2
458,CC_OBSR_rpra_181,5
459,CC_OBSR_rpra_182,0
460,CC_OBSR_rpra_185,2
461,CC_OBSR_rpra_186,2
462,CC_OBSR_rpra_187,0
463,CC_OBSR_rpra_188,1
464,CC_OBSR_rpra_189,2
465,CC_OBSR_rpra_191,0
466,CC_OBSR_rpra_192,2
467,CC_OBSR_rpra_196,0
468,CC_OBSR_rpra_197,0
469,CC_OBSR_rpra_198,0
470,CC_OBSR_rpra_199,5
471,CC_OBSR_rpra_201,0
472,CC_OBSR_rpra_202,2
473,CC_OBSR_rpra_203,1
474,CC_OBSR_rpra_204,1
475,CC_OBSR_rpra_205,2
476,CC_OBSR_rpra_206,3
477,CC_OBSR_rpra_207,0
478,CC_OBSR_rpra_208,0
479,CC_OBSR_rpra_209,3
480,CC_OBSR_rpra_210,2
481,CC_OBSR_rpra_211,0
482,CC_OBSR_rpra_212,0
483,CC_OBSR_rpra_215,0
484,CC_OBSR_rpra_216,2
485,CC_OBSR_rpra_217,2
486,CC_OBSR_rpra_218,0
487,CC_OBSR_rpra_220,0
488,CC_OBSR_rpra_222,3
489,CC_OBSR_rpra_223,3
490,CC_OBSR_rpra_224,0
491,CC_OBSR_rpra_225,3
492,CC_OBSR_rpra_226,0
493,CC_OBSR_rpra_227,0
494,CC_OBSR_rpra_228,3
495,CC_OBSR_rpra_231,3
496,CC_OBSR_rpra_233,3
497,CC_OBSR_rpra_234,1
498,CC_OBSR_rpra_237,0
499,CC_OBSR_rpra_238,0
500,CC_OBSR_rpra_239,0
501,CC_OBSR_rpra_241,2
502,CC_OBSR_rpra_242,2
503,CC_OBSR_rpra_243,1
504,CC_OBSR_rpra_245,0
505,CC_OBSR_rpra_246,2
506,CC_OBSR_rpra_247,0
507,CC_OBSR_rpra_248,3
508,CC_OBSR_rpra_249,3
509,CC_OBSR_rpra_253,3
510,CC_OBSR_rpra_255,3
511,CC_OBSR_rpra_256,0
512,CC_OBSR_rpra_257,0
513,CC_OBSR_rpra_258,2
514,CC_OBSR_rpra_259,0
515,CC_OBSR_rpra_261,3
516,CC_OBSR_rpra_263,3
517,CC_OBSR_rpra_264,0
518,CC_OBSR_rpra_265,3
519,CC_OBSR_rpra_266,1
520,CC_OBSR_rpra_268,3
521,CC_OBSR_rpra_269,3
522,CC_OBSR_rpra_270,2
523,CC_OBSR_rpra_271,0
524,CC_OBSR_rpra_272,1
525,CC_OBSR_rpra_273,0
526,CC_OBSR_rpra_274,0
527,CC_OBSR_rpra_275,1
528,CC_OBSR_rpra_276,2
529,CC_OBSR_rpra_277,0
530,CC_OBSR_rpra_278,2
531,CC_OBSR_rpra_279,0
532,CC_OBSR_rpra_280,0
533,CC_OBSR_rpra_281,1
534,CC_OBSR_rpra_282,5
535,CC_OBSR_rpra_283,3
536,CC_OBSR_rpra_284,0
537,CC_OBSR_rpra_285,0
538,CC_OBSR_rpra_286,3
539,CC_OBSR_rpra_287,0
540,CC_OBSR_rpra_288,2
541,CC_OBSR_rpra_290,0
542,CC_OBSR_rpra_292,3
543,CC_OBSR_rpra_293,2
544,CC_OBSR_rpra_295,1
545,CC_OBSR_rpra_296,3
546,CC_OBSR_rpra_297,0
547,CC_OBSR_rpra_298,3
548,CC_OBSR_rpra_299,1
549,CC_OBSR_rpra_300,2
550,CC_OBSR_rpra_302,0
551,CC_OBSR_rpra_303,0
552,CC_OBSR_rpra_304,3
553,CC_OBSR_rpra_305,3
554,CC_OBSR_rpra_306,5
555,CC_OBSR_rpra_307,5
556,CC_OBSR_rpra_308,4
557,CC_OBSR_rpra_309,5
558,CC_OBSR_rpra_310,4
559,CC_OBSR_rpra_311,5
560,CC_OBSR_rpra_312,0
561,CC_OBSR_rpra_313,3
562,CC_OBSR_rpra_314,4
563,CC_OBSR_rpra_315,2
564,CC_OBSR_rpra_316,2
565,CC_OBSR_rpra_317,0
566,CC_OBSR_rpra_318,3
567,CC_OBSR_rpra_320,1
568,CC_OBSR_rpra_321,1
569,CC_OBSR_rpra_322,0
