Clustered,datetime
67,2015-02-23T23:40:10.820000
67,2015-03-01T04:58:01.860000
67,2015-03-13T08:01:56.630000
67,2015-03-19T15:54:04.460000
67,2015-03-20T11:16:55.380000
67,2015-03-23T00:28:51.590000
67,2015-03-23T06:24:06.350000
67,2015-03-23T10:58:21.710000
67,2015-03-26T08:38:22.880000
67,2015-03-30T14:11:08.230000
67,2015-04-10T08:29:47.820000
67,2015-04-10T08:31:08.090000
67,2015-04-12T22:59:12.130000
67,2015-06-27T14:17:49.300000
67,2015-06-27T14:34:55.730000
67,2015-07-01T03:37:23.470000
67,2015-07-05T06:13:40.040000
67,2015-07-11T02:29:30.070000
67,2015-07-12T21:40:56.590000
67,2015-07-16T02:13:48.820000
67,2015-07-16T16:02:11.020000
67,2015-07-16T16:02:33.160000
67,2015-07-16T20:32:16.350000
67,2015-07-17T11:29:28.120000
67,2015-07-17T11:30:26.970000
67,2015-07-18T12:38:06.530000
67,2015-07-22T05:24:58.220000
67,2015-07-22T07:27:24.700000
67,2015-07-23T10:11:23.690000
67,2015-07-23T11:48:01.400000
67,2015-07-26T14:07:20.510000
67,2015-08-09T06:25:36.940000
67,2015-09-14T15:45:54.310000
67,2015-09-18T09:52:40.400000
67,2015-10-13T14:48:52.470000
67,2015-10-18T01:05:10.740000
67,2015-10-18T02:27:31.870000
67,2015-11-03T13:02:15.270000
67,2015-11-03T13:58:34.140000
